"x_data    "	"FFTMAG(Rectangular(.plot_2.curve_1.y_data),164998)"
3.988000e+003	2.884779e-001
3.988050e+003	2.269902e-001
3.988100e+003	6.987494e-002
3.988150e+003	3.347941e-001
3.988200e+003	2.777884e-001
3.988250e+003	2.521057e-001
3.988300e+003	4.266935e-001
3.988350e+003	2.371835e-001
3.988400e+003	3.874440e-001
3.988450e+003	1.201107e+000
3.988500e+003	9.128892e-001
3.988550e+003	1.222922e+000
3.988600e+003	1.255880e+000
3.988650e+003	1.217069e+000
3.988700e+003	1.095639e+000
3.988750e+003	1.342057e+000
3.988800e+003	1.238172e+000
3.988850e+003	1.287526e+000
3.988900e+003	8.419768e-001
3.988950e+003	3.060267e-001
3.989000e+003	3.017136e-001
3.989050e+003	2.308950e-001
3.989100e+003	3.322623e-001
3.989150e+003	6.766438e-001
3.989200e+003	7.217774e-001
3.989250e+003	4.910829e-001
3.989300e+003	8.413956e-001
3.989350e+003	1.207529e+000
3.989400e+003	1.249422e+000
3.989450e+003	2.955528e-001
3.989500e+003	6.222062e-001
3.989550e+003	1.115420e+000
3.989600e+003	6.917085e-001
3.989650e+003	8.545601e-001
3.989700e+003	4.494070e-001
3.989750e+003	2.963816e-001
3.989800e+003	1.972305e-001
3.989850e+003	3.316210e-001
3.989900e+003	3.695355e-001
3.989950e+003	4.590673e-001
3.990000e+003	1.282958e-001
3.990050e+003	3.343276e-001
3.990100e+003	8.478777e-001
3.990150e+003	6.857744e-001
3.990200e+003	5.100499e-001
3.990250e+003	2.341599e-001
3.990300e+003	2.472871e-001
3.990350e+003	3.773841e-001
3.990400e+003	5.177244e-001
3.990450e+003	4.233852e-001
3.990500e+003	2.700861e-001
3.990550e+003	4.485632e-001
3.990600e+003	5.155156e-001
3.990650e+003	8.528217e-001
3.990700e+003	3.843255e-001
3.990750e+003	5.893106e-001
3.990800e+003	9.805876e-001
3.990850e+003	1.045987e+000
3.990900e+003	1.295283e+000
3.990950e+003	1.465948e+000
3.991000e+003	1.031005e+000
3.991050e+003	8.264448e-001
3.991100e+003	1.335644e+000
3.991150e+003	1.179046e+000
3.991200e+003	7.094806e-001
3.991250e+003	9.101719e-001
3.991300e+003	7.548976e-001
3.991350e+003	4.128726e-001
3.991400e+003	2.857044e-001
3.991450e+003	8.978425e-001
3.991500e+003	9.241520e-001
3.991550e+003	5.704706e-001
3.991600e+003	9.376927e-001
3.991650e+003	3.749149e-001
3.991700e+003	3.949457e-001
3.991750e+003	6.945037e-001
3.991800e+003	1.504754e+000
3.991850e+003	7.486444e-001
3.991900e+003	6.028420e-001
3.991950e+003	7.054258e-001
3.992000e+003	8.267952e-001
3.992050e+003	1.033931e+000
3.992100e+003	6.838043e-001
3.992150e+003	4.844639e-001
3.992200e+003	7.927039e-001
3.992250e+003	6.383970e-001
3.992300e+003	9.269273e-001
3.992350e+003	4.807641e-001
3.992400e+003	4.954271e-001
3.992450e+003	6.484360e-001
3.992500e+003	4.832884e-001
3.992550e+003	5.152852e-001
3.992600e+003	4.946363e-001
3.992650e+003	6.605484e-001
3.992700e+003	8.533273e-001
3.992750e+003	1.209604e+000
3.992800e+003	9.029289e-001
3.992850e+003	4.787770e-001
3.992900e+003	2.684486e-001
3.992950e+003	7.479081e-001
3.993000e+003	4.070519e-001
3.993050e+003	4.295268e-001
3.993100e+003	4.972332e-001
3.993150e+003	7.966749e-001
3.993200e+003	6.352153e-001
3.993250e+003	9.191632e-001
3.993300e+003	9.518475e-001
3.993350e+003	1.739044e-001
3.993400e+003	2.691697e-001
3.993450e+003	2.239205e-001
3.993500e+003	4.218923e-001
3.993550e+003	1.817739e-001
3.993600e+003	3.551130e-001
3.993650e+003	5.367221e-001
3.993700e+003	1.441626e-001
3.993750e+003	1.010794e+000
3.993800e+003	1.161783e+000
3.993850e+003	1.213742e+000
3.993900e+003	7.423219e-001
3.993950e+003	1.116508e+000
3.994000e+003	7.712139e-001
3.994050e+003	6.518358e-001
3.994100e+003	5.347784e-001
3.994150e+003	2.325364e-001
3.994200e+003	2.922111e-001
3.994250e+003	5.744940e-001
3.994300e+003	7.344029e-001
3.994350e+003	6.377687e-001
3.994400e+003	4.909904e-001
3.994450e+003	4.137629e-001
3.994500e+003	3.701346e-001
3.994550e+003	6.012747e-001
3.994600e+003	6.923408e-001
3.994650e+003	8.641783e-001
3.994700e+003	7.085608e-001
3.994750e+003	7.101304e-001
3.994800e+003	6.547459e-001
3.994850e+003	5.065445e-001
3.994900e+003	9.074588e-002
3.994950e+003	3.949567e-001
3.995000e+003	3.564890e-001
3.995050e+003	2.377881e-001
3.995100e+003	5.894712e-001
3.995150e+003	8.312472e-001
3.995200e+003	5.614806e-001
3.995250e+003	1.422198e-001
3.995300e+003	2.943409e-001
3.995350e+003	6.123212e-001
3.995400e+003	6.920307e-001
3.995450e+003	6.481685e-001
3.995500e+003	6.477204e-001
3.995550e+003	7.219480e-001
3.995600e+003	7.958945e-001
3.995650e+003	8.321034e-001
3.995700e+003	7.312477e-001
3.995750e+003	5.752609e-001
3.995800e+003	5.376291e-001
3.995850e+003	3.555376e-001
3.995900e+003	2.163103e-001
3.995950e+003	3.851849e-001
3.996000e+003	7.060381e-002
3.996050e+003	5.403534e-001
3.996100e+003	1.231535e+000
3.996150e+003	1.550117e+000
3.996200e+003	1.319758e+000
3.996250e+003	9.577575e-001
3.996300e+003	7.494212e-001
3.996350e+003	1.079146e+000
3.996400e+003	7.689142e-001
3.996450e+003	5.900474e-001
3.996500e+003	1.002455e-001
3.996550e+003	1.737686e-001
3.996600e+003	6.312196e-001
3.996650e+003	5.710590e-001
3.996700e+003	1.944879e-001
3.996750e+003	1.047566e+000
3.996800e+003	1.321865e+000
3.996850e+003	1.246365e+000
3.996900e+003	1.663284e+000
3.996950e+003	1.360222e+000
3.997000e+003	1.044643e+000
3.997050e+003	8.803967e-001
3.997100e+003	5.941353e-001
3.997150e+003	4.691613e-001
3.997200e+003	9.054229e-001
3.997250e+003	1.017196e+000
3.997300e+003	4.541951e-001
3.997350e+003	2.782955e-001
3.997400e+003	8.950226e-002
3.997450e+003	5.028054e-001
3.997500e+003	5.156570e-001
3.997550e+003	3.005335e-001
3.997600e+003	3.848396e-001
3.997650e+003	6.070197e-001
3.997700e+003	9.447970e-001
3.997750e+003	9.129561e-001
3.997800e+003	1.149180e+000
3.997850e+003	1.425837e+000
3.997900e+003	1.200700e+000
3.997950e+003	1.635482e+000
3.998000e+003	1.488273e+000
3.998050e+003	1.254124e+000
3.998100e+003	1.448678e+000
3.998150e+003	1.298606e+000
3.998200e+003	1.299729e+000
3.998250e+003	8.968691e-001
3.998300e+003	4.841749e-001
3.998350e+003	7.593229e-001
3.998400e+003	8.478379e-001
3.998450e+003	1.119370e+000
3.998500e+003	7.986362e-001
3.998550e+003	5.770480e-001
3.998600e+003	4.460657e-001
3.998650e+003	7.958099e-001
3.998700e+003	7.407449e-001
3.998750e+003	6.029916e-001
3.998800e+003	5.663680e-001
3.998850e+003	7.530536e-001
3.998900e+003	3.946805e-001
3.998950e+003	5.327223e-001
3.999000e+003	8.038562e-001
3.999050e+003	8.113806e-001
3.999100e+003	6.637777e-001
3.999150e+003	7.781563e-001
3.999200e+003	7.310544e-001
3.999250e+003	5.092322e-001
3.999300e+003	6.223341e-001
3.999350e+003	7.076031e-001
3.999400e+003	7.484652e-001
3.999450e+003	9.013959e-001
3.999500e+003	8.865907e-001
3.999550e+003	5.182796e-001
3.999600e+003	2.011353e-001
3.999650e+003	2.116568e-001
3.999700e+003	2.114777e-001
3.999750e+003	2.626360e-001
3.999800e+003	4.764001e-001
3.999850e+003	4.449811e-001
3.999900e+003	2.229763e-001
3.999950e+003	3.933623e-001
4.000000e+003	3.209767e-001
4.000050e+003	2.277585e-001
4.000100e+003	4.821288e-001
4.000150e+003	8.306679e-001
4.000200e+003	9.825850e-001
4.000250e+003	6.620302e-001
4.000300e+003	4.786028e-001
4.000350e+003	1.790261e-001
4.000400e+003	8.001898e-001
4.000450e+003	7.629899e-001
4.000500e+003	5.474068e-001
4.000550e+003	6.261286e-001
4.000600e+003	9.916128e-001
4.000650e+003	5.525630e-001
4.000700e+003	7.530278e-001
4.000750e+003	6.717975e-001
4.000800e+003	4.044713e-001
4.000850e+003	8.696747e-001
4.000900e+003	6.631362e-001
4.000950e+003	6.344246e-001
4.001000e+003	9.879094e-001
4.001050e+003	4.469702e-001
4.001100e+003	5.106941e-001
4.001150e+003	1.874934e-001
4.001200e+003	2.958137e-001
4.001250e+003	5.410375e-001
4.001300e+003	7.437385e-001
4.001350e+003	5.101146e-001
4.001400e+003	4.994940e-001
4.001450e+003	5.032438e-001
4.001500e+003	2.535036e-001
4.001550e+003	5.012299e-001
4.001600e+003	4.144367e-001
4.001650e+003	1.253878e-001
4.001700e+003	4.786438e-001
4.001750e+003	6.737875e-001
4.001800e+003	5.182182e-001
4.001850e+003	6.280101e-001
4.001900e+003	6.799978e-001
4.001950e+003	6.678167e-001
4.002000e+003	3.672581e-001
4.002050e+003	5.827443e-001
4.002100e+003	4.624253e-001
4.002150e+003	5.280323e-001
4.002200e+003	1.040017e+000
4.002250e+003	8.121589e-001
4.002300e+003	2.179973e-001
4.002350e+003	6.921599e-002
4.002400e+003	2.451681e-001
4.002450e+003	4.282421e-001
4.002500e+003	1.873277e-001
4.002550e+003	1.906049e-001
4.002600e+003	8.362682e-001
4.002650e+003	1.238779e+000
4.002700e+003	1.057208e+000
4.002750e+003	1.568892e-001
4.002800e+003	7.758889e-001
4.002850e+003	1.472435e+000
4.002900e+003	1.526983e+000
4.002950e+003	1.469469e+000
4.003000e+003	1.641222e+000
4.003050e+003	1.570811e+000
4.003100e+003	6.103577e-001
4.003150e+003	9.377015e-001
4.003200e+003	1.356380e+000
4.003250e+003	1.493015e+000
4.003300e+003	6.398519e-001
4.003350e+003	1.068619e+000
4.003400e+003	9.900691e-001
4.003450e+003	1.025359e+000
4.003500e+003	6.382968e-001
4.003550e+003	6.290252e-001
4.003600e+003	3.667326e-001
